id;mark;
A15612;SCAR, ELBOW, LEFT - SCAR ELBOW, LEFT;
A15612;SCAR, EYEBROW, LEFT (EYE AREA) - SCAR EYEBROW, LEFT;
A15612;SCAR, ABDOMEN - SCAR STOMACH;
A15639;NONE RECORDED;
A15644;TATTOO, CHEST - CHAMPAGNE GLASS;
A15644;TATTOO, ARM, RIGHT UPPER - CIRCLED RAM;
A15644;TATTOO, FOREARM, LEFT - WOMAN/ROSE/\"LADY LOLA\";
A15644;TATTOO, CHEST - PANTHER/\"JOE\", PLAYBOY BUNNY;
A15655;NEEDLE MARKS, ARM, RIGHT - NEEDLE MARKS ARM, RIGHT;
A15655;SCAR, CHEST - SCAR CHEST;
A15657;SCAR, ABDOMEN - GUNSHOT WOUND;
A15657;TATTOO, WRIST, LEFT - TATTOO WRIST, LEFT;
A15657;TATTOO, ARM, LEFT - MOUNTAIN SCENE;
A15657;SCAR, ABDOMEN - SCAR STOMACH;
A15702;SCAR, ABDOMEN - SURG;
A15702;TATTOO, ARM, RIGHT UPPER - HEART/HORNS/FORK/\"D'S\";
A15702;TATTOO, ARM, LEFT UPPER - CROSS/FORKS/\"BGDN\";
A15776;TATTOO, CHEST - SCORPION;
A15776;SCAR, LEG, RIGHT - SCAR LEG, RIGHT;
A15776;TATTOO, ARM, RIGHT UPPER - HEART,\"SOPHIA\";
A15776;SCAR, KNEE, RIGHT - SCAR KNEE, RIGHT;
A15810;NEEDLE MARKS, ARM, LEFT - NEEDLE MARKS ARM, LEFT;
A15810;SCAR, EYEBROW, LEFT (EYE AREA) - SCAR EYEBROW, LEFT;
A15810;SCAR, CHEEK (FACE), LEFT - SCAR CHEEK, LEFT;
A15810;NEEDLE MARKS, ARM, RIGHT - NEEDLE MARKS ARM, RIGHT;
A15828;SCAR, ARM, RIGHT - SCAR ARM, RIGHT;
A15828;SCAR, ELBOW, RIGHT - SCAR ELBOW, RIGHT;
A15828;SCAR, EYEBROW, LEFT (EYE AREA) - SCAR EYEBROW, LEFT;
A15829;NONE RECORDED;
A15834;SCAR, FOREHEAD - SCAR FOREHEAD;
A15856;TATTOO, ARM, LEFT - SPOOKS, 1LG AND 1 SMALL;
A15856;GLASSES (PRESCRIPTION) -;
A15856;TATTOO, ARM, LEFT - DAGGER,DOT,BANNER WITH STARS;
A15856;TATTOO, ARM, RIGHT - CROSS,BANNER,JOLENE,ROSE;
A20093;SCAR, HAND, RIGHT - BACK OF HAND 3\"LG;
A20093;SCAR, ARM, LEFT - 5\"LG;
A20097;NONE RECORDED;
A25050;TATTOO, ARM, LEFT - TATTOO ARM, LEFT;
A25088;TATTOO, ARM, LEFT - TATTOO ARM, LEFT;
A25088;TATTOO, ARM, RIGHT - TATTOO ARM, RIGHT;
A25100;SCAR, FOREHEAD - LIN SCAR ON RIGHT SIDE OF F'HEAD;
A25100;TATTOO, ARM, RIGHT UPPER - CANE/HAT;
A25100;TATTOO, HAND, LEFT - \"LOVE\";
A25100;TATTOO, ARM, LEFT UPPER - \"C.V.L.\";
A25160;TATTOO, HAND, RIGHT - HEART;
A25160;TATTOO, CHEST - \"SEXY\" (RS),(LS) FADED WORDS;
A25160;TATTOO, FOREARM, LEFT - \"LOVE\";
A25160;TATTOO, ARM, LEFT UPPER - \"RIP\";
A25160;TATTOO, HAND, LEFT - \"HATE\";
A25186;TATTOO, ARM, RIGHT UPPER - TENISHA;
A25193;SCAR, BACK - SCAR BACK;
A25193;SCAR, CHIN - SCAR CHIN;
A25193;MEDICAL CONDITION - ACNE - ACNE FACE;
A26050;TATTOO, CHEST - \"ROY\" /TAT L ARM-\"ROY\"SEE FILE;
A26050;MOLE, EYEBROW, LEFT (EYE AREA) -;
